	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes	Viral genes with unknown function	Viral genes with viral benefits	Viral replication genes	Viral structure genes
c_000001409119__full-cat_2	2	False	False	9	2	0	False	0.0	1.0	8.0	0.0	0.0	0.0	0.0
c_000001410532__full-cat_2	2	False	False	6	1	0	False	0.0	1.0	4.0	1.0	0.0	0.0	0.0
c_000001411781__full-cat_2	2	False	False	9	6	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001412641__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000001412976__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001415415__full-cat_2	2	False	False	9	6	0	False	0.1111111111111111	1.0	8.0	0.0	0.0	0.0	0.0
c_000001415609__full-cat_2	2	False	False	7	4	2	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001415873__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001417223__full-cat_2	2	False	False	8	2	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001419456__full-cat_1	1	False	False	10	1	0	False	0.0	3.0	7.0	0.0	0.0	0.0	0.0
c_000001419612__full-cat_2	2	False	False	5	3	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001420460__full-cat_2	2	False	False	5	2	0	True	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001422126__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001422732__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001423265__full-cat_2	2	False	False	11	4	0	True	0.0	0.0	10.0	1.0	0.0	0.0	0.0
c_000001423512__full-cat_1	1	False	False	11	7	2	True	0.09090909090909091	2.0	9.0	0.0	0.0	0.0	0.0
c_000001423911__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001426168__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001427317__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001428371__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001428420__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001434155__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	4.0	2.0	0.0	0.0	0.0
c_000001434556__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001436347__full-cat_1	1	False	False	10	4	2	True	0.1	2.0	8.0	0.0	0.0	0.0	0.0
c_000001436577__full-cat_1	1	False	False	33	2	0	False	0.0	1.0	22.0	7.0	0.0	2.0	1.0
c_000001438044__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001438275__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001439747__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	6.0	2.0	0.0	0.0	0.0
c_000001439847__full-cat_1	1	False	False	14	0	0	False	0.0	1.0	9.0	3.0	0.0	0.0	1.0
c_000001440190__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001440880__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001441067__full-cat_2	2	False	False	17	0	0	False	0.058823529411764705	5.0	7.0	4.0	0.0	1.0	0.0
c_000001441414__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001444867__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001445275__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001445426__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001447548__full-cat_2	2	False	False	2	0	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000001447889__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001448159__full-cat_2	2	False	False	6	1	1	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001448331__full-cat_1	1	False	False	11	0	0	False	0.0	1.0	8.0	2.0	0.0	0.0	0.0
c_000001448743__full-cat_2	2	False	False	8	4	2	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001449211__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001450892__full-cat_1	1	False	False	21	4	4	False	0.047619047619047616	1.0	19.0	1.0	0.0	0.0	0.0
c_000001451890__full-cat_1	1	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001453953__full-cat_2	2	False	False	11	0	0	False	0.0	0.0	10.0	1.0	0.0	0.0	0.0
c_000001454200__full-cat_1	1	False	False	12	6	2	False	0.08333333333333333	1.0	11.0	0.0	0.0	0.0	0.0
c_000001454277__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001454279__full-cat_1	1	False	False	9	1	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001455347__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001455416__full-cat_2	2	False	False	8	4	2	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001455853__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001458623__full-cat_2	2	False	False	7	1	1	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001459538__full-cat_2	2	False	False	11	4	0	False	0.09090909090909091	1.0	10.0	0.0	0.0	0.0	0.0
c_000001461805__full-cat_2	2	False	False	10	3	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001463329__full-cat_2	2	False	False	13	3	0	False	0.0	0.0	13.0	0.0	0.0	0.0	0.0
c_000001464023__full-cat_2	2	False	False	8	2	0	False	0.25	2.0	5.0	1.0	0.0	0.0	0.0
c_000001467764__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001468530__full-cat_2	2	False	False	2	1	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000001469379__full-cat_2	2	False	False	7	2	0	False	0.0	1.0	5.0	1.0	0.0	0.0	0.0
c_000001472384__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001472740__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001474305__full-cat_1	1	False	False	12	0	1	False	0.16666666666666666	2.0	6.0	4.0	0.0	0.0	0.0
c_000001474358__full-cat_2	2	False	False	10	5	0	False	0.2	2.0	8.0	0.0	0.0	0.0	0.0
c_000001474765__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001475198__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	1.0	3.0	2.0	0.0	0.0	0.0
c_000001476065__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001477556__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001478215__full-cat_2	2	False	False	6	0	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001480656__full-cat_2	2	False	False	6	2	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001481542__full-cat_2	2	False	False	11	2	0	False	0.09090909090909091	1.0	9.0	1.0	0.0	0.0	0.0
c_000001484453__full-cat_2	2	False	False	5	2	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001486752__full-cat_2	2	False	False	8	2	0	False	0.0	1.0	7.0	0.0	0.0	0.0	0.0
c_000001487634__full-cat_2	2	False	False	5	1	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001489911__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001490175__full-cat_2	2	False	False	12	2	0	False	0.0	0.0	12.0	0.0	0.0	0.0	0.0
c_000001490782__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001491361__full-cat_1	1	False	False	15	3	2	False	0.4666666666666667	7.0	8.0	0.0	0.0	0.0	0.0
c_000001491771__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001491909__full-cat_2	2	False	False	11	0	0	False	0.0	2.0	8.0	1.0	0.0	0.0	0.0
c_000001492127__full-cat_1	1	False	False	12	2	0	False	0.0	0.0	8.0	4.0	0.0	0.0	0.0
c_000001493380__full-cat_1	1	False	False	17	8	1	False	0.058823529411764705	1.0	15.0	1.0	0.0	0.0	0.0
c_000001494059__full-cat_2	2	False	False	9	1	0	False	0.2222222222222222	2.0	6.0	1.0	0.0	0.0	0.0
c_000001494500__full-cat_2	2	False	False	2	1	0	False	0.5	1.0	1.0	0.0	0.0	0.0	0.0
c_000001495019__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001496074__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	13.0	2.0	0.0	0.0	0.0
c_000001496884__full-cat_2	2	False	False	4	2	0	True	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001497367__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001498139__full-cat_2	2	False	False	10	4	0	False	0.0	1.0	9.0	0.0	0.0	0.0	0.0
c_000001498828__full-cat_2	2	False	False	13	4	0	False	0.07692307692307693	2.0	11.0	0.0	0.0	0.0	0.0
c_000001499104__full-cat_2	2	False	False	9	4	0	False	0.0	1.0	7.0	0.0	0.0	1.0	0.0
c_000001499900__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001501776__full-cat_2	2	False	False	10	1	0	False	0.1	1.0	9.0	0.0	0.0	0.0	0.0
c_000001502140__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001503706__full-cat_2	2	False	False	10	6	0	False	0.0	0.0	9.0	1.0	0.0	0.0	0.0
c_000001503953__full-cat_1	1	False	False	6	3	0	False	0.0	1.0	3.0	2.0	0.0	0.0	0.0
c_000001503997__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001504842__full-cat_1	1	False	False	13	0	0	False	0.0	1.0	9.0	2.0	0.0	0.0	1.0
c_000001505766__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001507818__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001508221__full-cat_2	2	False	False	6	2	1	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001510465__full-cat_1	1	False	False	4	0	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001514118__full-cat_1	1	False	False	19	2	0	False	0.0	1.0	18.0	0.0	0.0	0.0	0.0
c_000001514463__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001514544__full-cat_2	2	False	False	11	4	0	False	0.0	0.0	11.0	0.0	0.0	0.0	0.0
c_000001514581__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001515678__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001517062__full-cat_1	1	False	False	4	3	0	False	0.0	0.0	3.0	1.0	0.0	0.0	0.0
c_000001517824__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001518960__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001520464__full-cat_2	2	False	False	3	2	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001520589__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001521375__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001523275__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	1.0	5.0	1.0	0.0	0.0	0.0
c_000001525237__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001527674__full-cat_2	2	False	False	13	2	0	False	0.0	0.0	13.0	0.0	0.0	0.0	0.0
c_000001528409__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001529353__full-cat_2	2	False	False	6	4	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001531465__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001532391__full-cat_2	2	False	False	10	1	0	True	0.0	2.0	7.0	0.0	0.0	1.0	0.0
c_000001534048__full-cat_2	2	False	False	7	4	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001535655__full-cat_2	2	False	False	8	0	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001537101__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	3.0	1.0	0.0	0.0	0.0
c_000001537623__full-cat_2	2	False	False	5	4	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001538218__full-cat_2	2	False	False	4	0	0	False	0.25	1.0	3.0	0.0	0.0	0.0	0.0
c_000001540804__full-cat_1	1	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001543586__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001546969__full-cat_2	2	False	False	5	0	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001548248__full-cat_2	2	False	False	7	0	0	False	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000001554881__full-cat_1	1	False	False	16	2	0	False	0.0	1.0	12.0	3.0	0.0	0.0	0.0
c_000001555930__full-cat_2	2	False	False	7	2	0	False	0.42857142857142855	3.0	4.0	0.0	0.0	0.0	0.0
c_000001561431__full-cat_2	2	False	False	10	5	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001564261__full-cat_2	2	False	False	5	1	1	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001564751__full-cat_2	2	False	False	9	4	0	False	0.1111111111111111	2.0	6.0	1.0	0.0	0.0	0.0
c_000001566016__full-cat_1	1	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001569298__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001569769__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001571702__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001572329__full-cat_2	2	False	False	8	5	0	False	0.0	0.0	6.0	1.0	0.0	1.0	0.0
c_000001572627__full-cat_2	2	False	False	13	6	0	False	0.07692307692307693	1.0	11.0	1.0	0.0	0.0	0.0
c_000001572686__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001573752__full-cat_2	2	False	False	10	2	0	True	0.0	1.0	9.0	0.0	0.0	0.0	0.0
c_000001574546__full-cat_2	2	False	False	31	8	0	False	0.0	0.0	29.0	2.0	0.0	0.0	0.0
c_000001576220__full-cat_1	1	False	False	8	1	0	False	0.0	1.0	7.0	0.0	0.0	0.0	0.0
c_000001576394__full-cat_2	2	False	False	14	3	0	False	0.0	0.0	11.0	3.0	0.0	0.0	0.0
c_000001576952__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000001577116__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	4.0	1.0	0.0	1.0	0.0
c_000001578677__full-cat_2	2	False	False	10	0	0	False	0.0	1.0	6.0	2.0	0.0	1.0	0.0
c_000001579930__full-cat_2	2	False	False	12	2	0	False	0.0	0.0	11.0	1.0	0.0	0.0	0.0
c_000001580464__full-cat_1	1	False	False	7	1	0	False	0.0	1.0	5.0	1.0	0.0	0.0	0.0
c_000001580710__full-cat_2	2	False	False	9	0	2	False	0.2222222222222222	2.0	7.0	0.0	0.0	0.0	0.0
c_000001581697__full-cat_2	2	False	False	2	0	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000001581803__full-cat_1	1	False	False	9	2	0	False	0.0	0.0	4.0	5.0	0.0	0.0	0.0
c_000001581864__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001587446__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000001587656__full-cat_2	2	False	False	9	3	0	True	0.0	1.0	7.0	1.0	0.0	0.0	0.0
c_000001588084__full-cat_2	2	False	False	12	6	0	False	0.0	0.0	12.0	0.0	0.0	0.0	0.0
c_000001588958__full-cat_1	1	False	False	5	2	1	False	0.2	1.0	3.0	1.0	0.0	0.0	0.0
c_000001590010__full-cat_2	2	False	False	8	0	0	False	0.25	2.0	6.0	0.0	0.0	0.0	0.0
c_000001591411__full-cat_2	2	False	False	9	3	0	True	0.2222222222222222	2.0	7.0	0.0	0.0	0.0	0.0
c_000001591513__full-cat_2	2	False	False	6	2	0	False	0.0	1.0	4.0	0.0	0.0	1.0	0.0
c_000001592832__full-cat_2	2	False	False	10	2	0	True	0.0	2.0	8.0	0.0	0.0	0.0	0.0
c_000001593849__full-cat_2	2	False	False	15	4	0	False	0.13333333333333333	2.0	13.0	0.0	0.0	0.0	0.0
c_000001593857__full-cat_1	1	False	False	15	1	0	True	0.0	0.0	11.0	3.0	0.0	0.0	1.0
c_000001597205__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001597746__full-cat_2	2	False	False	8	5	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001598296__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001599016__full-cat_2	2	False	False	13	2	0	False	0.0	0.0	13.0	0.0	0.0	0.0	0.0
c_000001600011__full-cat_2	2	False	False	9	1	0	False	0.0	1.0	8.0	0.0	0.0	0.0	0.0
c_000001600830__full-cat_2	2	False	False	8	4	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001601063__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001601379__full-cat_2	2	False	False	2	1	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000001601391__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001601535__full-cat_2	2	False	False	15	5	0	False	0.0	0.0	13.0	2.0	0.0	0.0	0.0
c_000001604687__full-cat_2	2	False	False	8	2	0	False	0.125	1.0	6.0	1.0	0.0	0.0	0.0
c_000001605052__full-cat_1	1	False	False	14	3	1	False	0.0	1.0	12.0	1.0	0.0	0.0	0.0
c_000001605584__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	8.0	0.0	0.0	1.0	0.0
c_000001606029__full-cat_2	2	False	False	17	9	1	False	0.0	0.0	17.0	0.0	0.0	0.0	0.0
c_000001606755__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001607600__full-cat_2	2	False	False	11	6	0	False	0.2727272727272727	3.0	8.0	0.0	0.0	0.0	0.0
c_000001608677__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	8.0	1.0	0.0	0.0	0.0
c_000001609934__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001609994__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	2.0	3.0	0.0	0.0	0.0
c_000001612828__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001614523__full-cat_2	2	False	False	5	1	0	True	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001616842__full-cat_2	2	False	False	7	3	1	False	0.14285714285714285	2.0	5.0	0.0	0.0	0.0	0.0
c_000001617846__full-cat_2	2	False	False	7	2	0	False	0.0	2.0	5.0	0.0	0.0	0.0	0.0
c_000001618046__full-cat_1	1	False	False	25	4	1	False	0.08	4.0	15.0	6.0	0.0	0.0	0.0
c_000001620213__full-cat_2	2	False	False	5	2	0	True	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001620348__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001620944__full-cat_2	2	False	False	14	6	0	False	0.0	0.0	14.0	0.0	0.0	0.0	0.0
c_000001621315__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001621640__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	2.0	1.0	0.0	0.0	0.0
c_000001622629__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001623143__full-cat_2	2	False	False	9	2	0	False	0.0	1.0	7.0	1.0	0.0	0.0	0.0
c_000001623295__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001624563__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001625484__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001626046__full-cat_2	2	False	False	5	2	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001626316__full-cat_2	2	False	False	5	3	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001627485__full-cat_2	2	False	False	6	1	0	False	0.5	3.0	3.0	0.0	0.0	0.0	0.0
c_000001629848__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001629890__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001631212__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001631504__full-cat_2	2	False	False	12	3	0	False	0.0	0.0	12.0	0.0	0.0	0.0	0.0
c_000001632023__full-cat_1	1	False	False	4	0	0	False	0.0	0.0	2.0	2.0	0.0	0.0	0.0
c_000001632108__full-cat_2	2	False	False	4	1	0	False	0.0	1.0	3.0	0.0	0.0	0.0	0.0
c_000001632131__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	8.0	1.0	0.0	0.0	0.0
c_000001632574__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001632830__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001633352__full-cat_2	2	False	False	10	2	0	False	0.0	0.0	8.0	2.0	0.0	0.0	0.0
c_000001634092__full-cat_1	1	False	False	6	0	0	False	0.0	2.0	3.0	1.0	0.0	0.0	0.0
c_000001636373__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001642002__full-cat_2	2	False	False	10	1	0	False	0.0	0.0	9.0	1.0	0.0	0.0	0.0
c_000001642170__full-cat_2	2	False	False	9	0	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001642252__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001645186__full-cat_1	1	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001645528__full-cat_2	2	False	False	4	0	0	False	0.5	2.0	2.0	0.0	0.0	0.0	0.0
c_000001646639__full-cat_2	2	False	False	14	2	0	False	0.0	0.0	13.0	1.0	0.0	0.0	0.0
c_000001647455__full-cat_2	2	False	False	3	1	0	False	0.0	1.0	2.0	0.0	0.0	0.0	0.0
c_000001647616__full-cat_2	2	False	False	15	0	0	False	0.0	2.0	12.0	1.0	0.0	0.0	0.0
c_000001647911__full-cat_1	1	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001648597__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	5.0	2.0	0.0	0.0	0.0
c_000001649805__full-cat_2	2	False	False	2	1	0	False	0.5	1.0	1.0	0.0	0.0	0.0	0.0
c_000001658469__full-cat_2	2	False	False	7	4	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001660323__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001661256__full-cat_2	2	False	False	17	7	0	False	0.0	1.0	16.0	0.0	0.0	0.0	0.0
c_000001661467__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001665198__full-cat_2	2	False	False	4	1	0	False	0.25	1.0	3.0	0.0	0.0	0.0	0.0
c_000001666160__full-cat_2	2	False	False	7	2	0	False	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000001666552__full-cat_2	2	False	False	25	8	2	False	0.12	3.0	20.0	2.0	0.0	0.0	0.0
c_000001669273__full-cat_2	2	False	False	4	3	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001669644__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001671704__full-cat_1	1	False	False	3	1	0	False	0.3333333333333333	1.0	2.0	0.0	0.0	0.0	0.0
c_000001671998__full-cat_2	2	False	False	5	0	0	False	0.4	2.0	3.0	0.0	0.0	0.0	0.0
c_000001672578__full-cat_1	1	False	False	8	3	0	False	0.25	2.0	6.0	0.0	0.0	0.0	0.0
c_000001673267__full-cat_2	2	False	False	2	0	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000001674147__full-cat_2	2	False	False	7	1	1	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001674705__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001676501__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001677096__full-cat_2	2	False	False	16	1	0	False	0.0	0.0	16.0	0.0	0.0	0.0	0.0
c_000001677672__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001677924__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001679439__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001679833__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	5.0	4.0	0.0	0.0	0.0
c_000001680688__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
